Round,ePrix,Country,Track,Date,raceId,seasonId
1,Beijing ePrix,China,Beijing Olympic Green Circuit,41895,1900-01-01,1
2,Putrajaya ePrix,Malaysia,Putrajaya Street Circuit,41965,1900-01-02,1
3,Punta del Este ePrix,Uruguay,Punta del Este Street Circuit,41986,1900-01-03,1
4,Buenos Aires ePrix,Argentina,Puerto Madero Street Circuit,42014,1900-01-04,1
5,Miami ePrix,United States,Biscayne Bay Street Circuit,42077,1900-01-05,1
6,Long Beach ePrix,United States,Long Beach Street Circuit,42098,1900-01-06,1
7,Monaco ePrix,Monaco,Circuit de Monaco,42133,1900-01-07,1
8,Berlin ePrix,Germany,Tempelhof Airport Street Circuit,42147,1900-01-08,1
9,Moscow ePrix,Russia,Moscow Street Circuit,42161,1900-01-09,1
10,London ePrix Race 1,United Kingdom,Battersea Park Street Circuit,42182,1900-01-10,1
11,London ePrix Race 2,United Kingdom,Battersea Park Street Circuit,42183,1900-01-11,1
1,Beijing ePrix,China,Beijing Olympic Green Circuit,42301,1900-01-12,2
2,Putrajaya ePrix,Malaysia,Putrajaya Street Circuit,42315,1900-01-13,2
3,Punta del Este ePrix,Uruguay,Punta del Este Street Circuit,42357,1900-01-14,2
4,Buenos Aires ePrix,Argentina,Puerto Madero Street Circuit,42406,1900-01-15,2
5,Mexico City ePrix,Mexico,Autódromo Hermanos Rodríguez,42441,1900-01-16,2
6,Long Beach ePrix,United States,Long Beach Street Circuit,42462,1900-01-17,2
7,Paris ePrix,France,Paris Street Circuit,42483,1900-01-18,2
8,Berlin ePrix,Germany,Berlin Street Circuit,42511,1900-01-19,2
9,London ePrix Race 1,United Kingdom,Battersea Park Street Circuit,42553,1900-01-20,2
10,London ePrix Race 2,United Kingdom,Battersea Park Street Circuit,42554,1900-01-21,2
1,Hong Kong ePrix,Hong Kong,Hong Kong Central Harbourfront Circuit,42652,1900-01-22,3
2,Marrakesh ePrix,Morocco,Circuit International Automobile Moulay El Hassan,42686,1900-01-23,3
3,Buenos Aires ePrix,Argentina,Puerto Madero Street Circuit,42784,1900-01-24,3
