teamId,teamRef,name,nationality,imageUrl, carImage
1,cupra,abt cupra formula e team,German
2,audi,abt schaeffler audi sport,German
3,aguri,amlin aguri,Japanese
4,andretti,andretti autosport formula e team,American
5,andretti,andretti formula e,American
6,audi,audi sport abt formula e team,German
7,audi,audi sport abt schaeffler formula e team,German
8,andretti,avalanche andretti formula e,American
9,andretti,bmw i andretti motorsport,American
10,ert,china racing formula e team,Chinese
11,ds,dragon / penske autosport,American
12,ds,dragon racing,American
13,ds,dragon racing formula e team,American
14,ds,ds penske,French
15,techeetah,ds techeetah,Chinese
16,envision,ds virgin racing formula e team,British
17,envision,envision racing,British
18,envision,envision virgin racing,British
19,ert,ert formula e team,Chinese
20,ds,faraday future dragon racing,American
21,ds,geox dragon,American
22,racelab,hwa racelab,German
23,jaguar,jaguar racing,British
24,jaguar,jaguar tcs racing,British
25,mahindra,mahindra racing,Indian
26,mahindra,mahindra racing formula e team,Indian
27,maserati,maserati msg racing,Monegasque
28,mercedes,mercedes-benz eq formula e team,German
29,andretti,ms amlin andretti formula e,American
30,andretti,ms&ad andretti formula e,American
31,mclaren,neom mclaren formula e team,British
32,ert,nextev nio,Chinese
33,ert,nextev tcr formula e team,Chinese
34,ert,nio 333 fe team,Chinese
35,ert,nio 333 racing,Chinese
36,ert,nio formula e team,British
37,nissan,nissan e.dams,French
38,nissan,nissan formula e team,Japanese
39,jaguar,panasonic jaguar racing,British
40,renault,renault e.dams,French
41,maserati,rokit venturi racing,Monegasque
42,porsche,tag heuer porsche formula e team,German
43,aguri,team aguri,Japanese
44,renault,team e.dams renault,French
45,techeetah,techeetah,Chinese
46,trulli,trulli formula e team,Swiss
47,maserati,venturi formula e team,Monegasque
48,envision,virgin racing formula e team,British
